experiment,dataset,method,MSETest_mean,MSETest_std,RMSETest_mean,RMSETest_std,EnergyScoreTest_mean,EnergyScoreTest_std,CRPSTest_mean,CRPSTest_std,Gaussian NLLTest_mean,Gaussian NLLTest_std,C95Test_mean,C95Test_std,C90Test_mean,C90Test_std,C75Test_mean,C75Test_std,C50Test_mean,C50Test_std,MSEValidation_mean,MSEValidation_std,RMSEValidation_mean,RMSEValidation_std,EnergyScoreValidation_mean,EnergyScoreValidation_std,CRPSValidation_mean,CRPSValidation_std,Gaussian NLLValidation_mean,Gaussian NLLValidation_std,C95Validation_mean,C95Validation_std,C90Validation_mean,C90Validation_std,C75Validation_mean,C75Validation_std,C50Validation_mean,C50Validation_std,NumberParameters_mean,NumberParameters_std,n_runs
KS,1D_KS,normal,1.556e-05,5.226184076360113e-06,0.00390338,0.0006438581381018651,0.052314320000000004,0.007497280008242991,0.0021023400000000003,0.0002919374213765683,-4.0402226,0.13758905790990428,0.96480002,0.004764468491028142,0.91920004,0.008197605138270584,0.5662,0.05193938775149358,0.0134,0.008734987120768983,1.4339999999999998e-05,4.618766068984226e-06,0.00374936,0.0005930053313419704,0.05165256,0.007397464420191558,0.00208896,0.000291992402298416,-4.04305176,0.13762369213098063,0.96844446,0.014133397492924244,0.9195555799999999,0.018029478159863624,0.57977778,0.07782302117427722,0.01711112,0.008111867696899401,,,5
KS,1D_KS,sample,3.4620000000000004e-05,7.889043034487774e-06,0.00585016,0.0006933618773771746,0.07335546000000001,0.01506488001721222,0.00343964,0.0008225604798432755,-3.52996578,0.28370395288539263,0.2644,0.19886880097189705,0.1712,0.16979605413554225,0.052000000000000005,0.07571327492586752,0.0024000000000000002,0.004827007354458868,3.256e-05,8.580967311439892e-06,0.00566566,0.0007663123501549483,0.07204486,0.015913407241474085,0.00340082,0.0008479630634644415,-3.53983686,0.29296783014573996,0.27333334,0.2023427411779528,0.17955554,0.16423334637936052,0.0568889,0.07501190526909712,0.002,0.003880949832837317,,,5
NDP,1D_Burgers,NDP,2.548e-05,1.6916766830573743e-05,0.00469146,0.0020800743912177755,0.01390022,0.003184465972027336,0.00043104,8.151409694034526e-05,-6.19580846,0.2792954571131852,0.0132,0.00719027120489902,0.004,0.0035355339059327377,0.0004,0.0005477225575051661,0.0004,0.0005477225575051661,1.422e-05,1.1374401083134005e-05,0.00349118,0.0015949346105718566,0.012602259999999999,0.00274095004752002,0.00040212,7.738344138121539e-05,-6.23523074,0.29823995236419576,0.01333332,0.010243938888533062,0.0028888800000000004,0.002675918441769106,0.0,0.0,0.0,0.0,4084225.0,0.0,5
NDP,1D_KS,NDP,0.00309214,0.0015203374503708052,0.05425818,0.01360982388706775,0.5923713399999999,0.13835732876963183,0.025925959999999998,0.00550168373618477,-1.24035926,0.04745600086272544,0.0024000000000000002,0.003286335345030997,0.0008,0.001788854381999832,0.0,0.0,0.0,0.0,0.0029504799999999997,0.0014997750287959858,0.052884640000000004,0.013861149316452803,0.5796196,0.13958886805549714,0.02556348,0.0056239335928689625,-1.2780779199999999,0.04425072720003595,0.00244444,0.00433190888269825,0.0011111,0.0019244816522897797,0.0,0.0,0.0,0.0,4084225.0,0.0,5
NDP,concrete,NDP,91.49519425999999,15.394480717900402,9.53293622,0.791295201168225,5.40734958,0.4283755318044731,5.381329259999999,0.425512495960133,5.87941274,1.6161984223423767,0.66796118,0.04254156389569197,0.59902915,0.03604320972302162,0.44757283000000003,0.03534792887561512,0.28737862999999997,0.030647278519375126,84.64344787,22.455485460390456,9.12717071,1.1641057012216445,4.96233506,0.6555737691945966,4.93638387,0.653595631769976,5.0179554699999995,1.0607678579914985,0.72330098,0.0515592756790321,0.6407767,0.06838995566412338,0.49514565,0.0524312826039782,0.32135923,0.03845208008263819,137985.0,0.0,80
T2M,WeatherBench,deterministic,0.5804666,,0.7618836,,102.4986838,,0.3927669,,1.0393893,,0.9727648,,0.9489216,,0.8545356,,0.6214128,,,,,,,,,,,,,,,,,,,,,,1
T2M,WeatherBench,iDDPM,0.518207,,0.7198659,,96.713683,,0.3563023,,0.9182836,,0.8509268,,0.7842739,,0.6245808,,0.4006278,,,,,,,,,,,,,,,,,,,,,,1
T2M,WeatherBench,mixednormal,0.4971725,,0.7051046,,95.6817552,,0.3494784,,0.9799089,,0.8253149,,0.7589704,,0.6037022,,0.3880792,,,,,,,,,,,,,,,,,,,,,,1
T2M,WeatherBench,mvnormal,0.5823953,,0.7631483,,101.3874623,,0.3767939,,0.9348649,,0.9432652,,0.9040359,,0.7799211,,0.5423296,,,,,,,,,,,,,,,,,,,,,,1
T2M,WeatherBench,normal,0.5076099,,0.7124675,,96.4851019,,0.3547561,,0.9712821,,0.8359036,,0.7695019,,0.6122564,,0.3929385,,,,,,,,,,,,,,,,,,,,,,1
