dataset_name,downscaling_factor,yarin_gal_uci_split_indices,max_dataset_size,standardize,select_timesteps,temporal_downscaling_factor,validation_ratio,model,uncertainty_quantification,report_every,seed,distributed_training,backbone,batch_size,batch_accumulation,eval_batch_size,n_epochs,early_stopping,init,learning_rate,warmup_lr,lr_schedule,optimizer,gradient_clipping,alpha,n_samples_uq,weight_decay,n_val_samples,data_loader_pin_memory,dropout,hidden_dim,n_layers,n_timesteps,beta_endpoints,distributional_method,loss,closed_form,concat_condition_diffusion,evaluate,val_only,x_T_sampling_method,conditional_free_guidance_training,ddim_churn,noise_schedule,regressor,tau,n_ndp_heads,n_components,gamma,rank,mvnormal_method,n_train_samples,loss_lambda,noise_dim,metrics_plots,filename_to_validate,t_training,MSEValidation,RMSEValidation,EnergyScoreValidation,CRPSValidation,Gaussian NLLValidation,C95Validation,C90Validation,C75Validation,C50Validation,MSETest,RMSETest,EnergyScoreTest,CRPSTest,Gaussian NLLTest,C95Test,C90Test,C75Test,C50Test,experiment,source_file,method,run_id,dataset,NumberParameters,t_training_avg,t_training_med,t_training_std,MSETrain,RMSETrain,EnergyScoreTrain,CRPSTrain,Gaussian NLLTrain,C95Train,C90Train,C75Train,C50Train,CoverageTrain,QICETrain,CoverageTest,QICETest
concrete,1,6,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",sample,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1370.431,,,,,,,,,,25.6466312,5.0642503,2.5197046,2.5066001,8.5048895,0.7766991,0.7475728,0.5242718,0.3106796,UCI,UCI/concrete/20260414_155605_concrete/test.csv,sample,6,concrete,419073.0,0.1370299,0.1350962,0.0064765,7.7743607,2.7882541,1.3336788,1.3208596,2.2035902,0.935275,0.8899676,0.7475728,0.4929881,,,,
concrete,1,6,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",mixednormal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1828.506,,,,,,,,,,23.1343632,4.8098195,2.3564866,2.3468544,18.1042976,0.6990291,0.6213592,0.4757282,0.3300971,UCI,UCI/concrete/20260414_155605_concrete/test.csv,mixednormal,6,concrete,519563.0,0.2303913,0.2295502,0.0047339,5.7265191,2.3930146,0.9976529,0.9875514,1.9010298,0.93959,0.8996763,0.7626753,0.5188781,,,,
concrete,1,7,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",deterministic,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1153.313,,,,,,,,,,27.7907448,5.2716928,2.7786191,2.7686479,7.7484007,0.6213592,0.5631068,0.4271845,0.2038835,UCI,UCI/concrete/20260414_155605_concrete/test.csv,deterministic,7,concrete,418945.0,0.1026316,0.1006163,0.005742,6.1605892,2.4820534,1.2531691,1.2435094,2.1921785,0.8284789,0.7691478,0.5911542,0.3592233,,,,
concrete,1,7,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",normal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1397.113,,,,,,,,,,29.1585045,5.3998615,2.687264,2.6764123,8.5567713,0.7184466,0.6504855,0.4368932,0.3300971,UCI,UCI/concrete/20260414_155605_concrete/test.csv,normal,7,concrete,419203.0,0.1434285,0.1424161,0.0049847,4.8287411,2.1974397,1.0837679,1.0733289,2.030658,0.9298813,0.8770226,0.7324703,0.4940669,,,,
concrete,1,7,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",sample,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1363.539,,,,,,,,,,29.9909496,5.4763993,2.7768176,2.7656469,5.1373897,0.7281554,0.6407767,0.4854369,0.2718447,UCI,UCI/concrete/20260414_155605_concrete/test.csv,sample,7,concrete,419073.0,0.1362423,0.134648,0.0064265,6.0503049,2.4597368,1.2465414,1.2350619,2.1665649,0.9298813,0.8748651,0.7367853,0.5145631,,,,
concrete,1,7,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",mixednormal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1821.171,,,,,,,,,,29.5408878,5.435153,2.6364679,2.625355,7.1150789,0.6990291,0.631068,0.5339806,0.3786408,UCI,UCI/concrete/20260414_155605_concrete/test.csv,mixednormal,7,concrete,519563.0,0.2298614,0.2293384,0.0042582,4.4680886,2.1137854,0.9510033,0.9403182,1.801255,0.952535,0.926645,0.8155339,0.570658,,,,
concrete,1,8,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",deterministic,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1132.228,,,,,,,,,,23.7271347,4.8710507,2.5700064,2.5594678,6.6367407,0.5825243,0.4854369,0.3592233,0.223301,UCI,UCI/concrete/20260414_155605_concrete/test.csv,deterministic,8,concrete,418945.0,0.1007472,0.0998313,0.002838,7.2161016,2.6862803,1.3258748,1.316184,2.3144877,0.798274,0.7367853,0.570658,0.3592233,,,,
concrete,1,8,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",normal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1369.641,,,,,,,,,,22.4271278,4.7357289,2.4237952,2.4112985,5.8290753,0.7087379,0.6407767,0.4951456,0.3495146,UCI,UCI/concrete/20260414_155605_concrete/test.csv,normal,8,concrete,419203.0,0.1416968,0.1416432,0.0038729,6.2270942,2.4954146,1.1376441,1.1260184,1.9883927,0.93959,0.9007551,0.7562028,0.5231931,,,,
concrete,1,8,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",sample,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1342.3,,,,,,,,,,24.5227032,4.9520403,2.460459,2.4471574,3.4120646,0.7475728,0.6796117,0.5048544,0.3106796,UCI,UCI/concrete/20260414_155605_concrete/test.csv,sample,8,concrete,419073.0,0.1347273,0.1343726,0.0033739,7.2304401,2.6889478,1.3219696,1.3089783,2.196959,0.9255663,0.8845739,0.7562028,0.5167206,,,,
concrete,1,8,1000,True,zero,1,0.0,MLP,diffusion,50,1234,False,CARD,32,1,16384,5000,1000,default,0.001,0,no,adam,1,0.05,100,0.0,10,False,0.1,64,2,50,"[0.001, 0.35]",mixednormal,crps,True,True,True,False,CARD,False,1.0,linear,orig_CARD_pretrain,1.0,4,3,5.0,10,lora,10,0.001,10,False,,1829.198,,,,,,,,,,21.3601952,4.6217091,2.508867,2.498435,5.0727472,0.6699029,0.5631068,0.4271845,0.2135922,UCI,UCI/concrete/20260414_155605_concrete/test.csv,mixednormal,8,concrete,519563.0,0.2309713,0.2290484,0.0082961,6.0777054,2.4653003,1.0990785,1.0893821,1.9564407,0.9201726,0.8629989,0.7022653,0.4638619,,,,
